cellosaurus_id,cell_line_name,tissue
CVCL_1205,ESS-1,Uterus
CVCL_1218,FaDu,Head And Neck
CVCL_1220,G-361,Skin
CVCL_1221,G-402,Muscle
CVCL_1226,GaMG,Brain
CVCL_1227,GB-1,Brain
CVCL_1228,GCIY,Stomach
CVCL_1229,GCT,Soft Tissue
CVCL_1231,GI-1,Brain
CVCL_1233,GMS-10,Brain
CVCL_1239,H4,Brain
CVCL_1247,HCC1187,Breast
CVCL_1249,HCC1395,Breast
CVCL_1255,HCC1569,Breast
CVCL_1258,HCC1806,Breast
CVCL_1259,HCC1954,Breast
CVCL_1265,HCC2935,Lung
CVCL_1269,HCC4006,Lung
CVCL_1270,HCC70,Breast
CVCL_1273,HD-MY-Z,Lymph
CVCL_1279,HGC-27,Stomach
CVCL_1280,HH [Human lymphoma],Lymph
CVCL_1281,HLE,Liver
CVCL_1287,HSC-2,Head And Neck
CVCL_1290,HT,Lymph
CVCL_1291,HT-1197,Bladder
CVCL_1292,HT-1376,Bladder
CVCL_1299,HuP-T3,Pancreas
CVCL_1300,HuP-T4,Pancreas
CVCL_1302,IA-LM,Lung
CVCL_1304,IGROV-1,Ovary
CVCL_1307,IPC-298,Skin
CVCL_1311,IST-Mes1,Lung
CVCL_1312,IST-Mes2,Lung
CVCL_1320,JVM-3,Lymph
CVCL_1321,KO52,Blood
CVCL_1323,KALS-1,Brain
CVCL_1324,Karpas-299,Lymph
CVCL_1325,Karpas-422,Lymph
CVCL_1329,KLE,Uterus
CVCL_1334,KMS-12-BM,Blood
CVCL_1335,KNS-62,Lung
CVCL_1338,KP-4,Pancreas
CVCL_1340,KP-N-SI9s,Nervous System
CVCL_1345,Kuramochi,Ovary
CVCL_1347,KYSE-140,Esophagus
CVCL_1348,KYSE-150,Esophagus
CVCL_1349,KYSE-180,Esophagus
CVCL_1351,KYSE-30,Esophagus
CVCL_1352,KYSE-410,Esophagus
CVCL_1353,KYSE-450,Esophagus
CVCL_1354,KYSE-510,Esophagus
CVCL_1355,KYSE-520,Esophagus
CVCL_1356,KYSE-70,Esophagus
CVCL_1357,L-363,Blood
CVCL_1361,L-428,Lymph
CVCL_1375,LCLC-103H,Lung
CVCL_1381,LOX-IMVI,Skin
CVCL_1383,LS123,Colon
CVCL_1385,LS411N,Colon
CVCL_1386,LS513,Colon
CVCL_1399,MC116,Lymph
CVCL_1400,MDA-MB-175-VII,Breast
CVCL_1402,Mel Ho,Skin
CVCL_1404,MES-SA,Uterus
CVCL_1405,MFE-280,Uterus
CVCL_1406,MFE-296,Uterus
CVCL_1411,MHH-ES-1,Bone
CVCL_1414,MJ,Lymph
CVCL_1417,MKN7,Stomach
CVCL_1424,MOLT-16,Blood
CVCL_1425,Mono-Mac-1,Blood
CVCL_1427,MPP 89,Lung
CVCL_1430,MSTO-211H,Lung
CVCL_1438,Malme-3M,Skin
CVCL_1453,NCI-H1048,Lung
CVCL_1454,NCI-H1092,Lung
CVCL_1456,NCI-H1155,Lung
CVCL_1458,NCI-H1184,Lung
CVCL_1463,NCI-H1341,Lung
CVCL_1464,NCI-H1355,Lung
CVCL_1465,NCI-H1373,Lung
CVCL_1475,NCI-H1563,Lung
CVCL_1476,NCI-H1568,Lung
CVCL_1478,NCI-H1573,Lung
CVCL_1479,NCI-H1581,Lung
CVCL_1482,NCI-H1648,Lung
CVCL_1483,NCI-H1650,Lung
