dataset,sample_id,tissue,PC1,PC2
depmap,ACH-000155,Pancreas,4.90513773278255,3.9699187627930486
depmap,ACH-000159,Kidney,18.757310189144206,-5.51841155275241
depmap,ACH-000160,CNS/Brain,-10.969387695712099,0.7814820080955031
depmap,ACH-000161,Lung,7.865984844561939,4.804367628725489
depmap,ACH-000163,Head and Neck,14.737941668451013,-18.221149822995017
depmap,ACH-000164,Pancreas,13.006925971878243,-10.964018434301941
depmap,ACH-000167,Lymphoid,-33.16238337161035,-0.8224483915727329
depmap,ACH-000168,Myeloid,-27.92236282521897,0.6301296804473825
depmap,ACH-000169,Soft Tissue,8.507901698700723,-22.591924615235236
depmap,ACH-000172,Soft Tissue,-2.686522064934616,-11.5333939090606
depmap,ACH-000174,Thyroid,4.562632371850643,-4.806505006141894
depmap,ACH-000176,Lung,15.83247403888941,-8.380855436929412
depmap,ACH-000178,Pancreas,15.576085603805316,3.2119668439631908
depmap,ACH-000181,Head and Neck,13.099502586675767,15.61434604105854
depmap,ACH-000182,Ampulla of Vater,9.217164840375244,11.197448495454811
depmap,ACH-000183,Lymphoid,-28.173033664325,-7.385583054565262
depmap,ACH-000187,Lung,-17.092514967353488,-9.22762036845418
depmap,ACH-000188,Head and Neck,7.5999241945913365,21.96155688933057
depmap,ACH-000189,Kidney,17.627595510064296,4.6043141166020485
depmap,ACH-000190,Myeloid,5.622505231780673,-13.218409125216372
depmap,ACH-000191,Thyroid,10.084264093926128,3.784286980682278
depmap,ACH-000192,Uterus,-1.3902515986458879,-2.923617230619491
depmap,ACH-000195,Myeloid,-21.314669226425387,-8.461343735878541
depmap,ACH-000198,Myeloid,-34.320332627332554,-0.731313125975155
depmap,ACH-000200,CNS/Brain,18.939609447490266,-16.309930227517192
depmap,ACH-000202,Bowel,-15.040145895306265,-10.930910938400642
depmap,ACH-000203,Peripheral Nervous System,-1.5184158137497832,-25.630987223748043
depmap,ACH-000204,Lymphoid,-19.835928664106266,1.0094922062060616
depmap,ACH-000206,Lymphoid,-28.24345619761877,-2.0191410272274073
depmap,ACH-000207,Head and Neck,11.622395573695401,11.848831067942129
depmap,ACH-000208,CNS/Brain,16.256133646560937,-19.617060978439916
depmap,ACH-000209,Biliary Tract,9.376483987559487,7.706847798030692
depmap,ACH-000210,Bone,-13.344103052661596,-9.300491898755713
depmap,ACH-000211,CNS/Brain,13.458918655450226,-17.28363269301882
depmap,ACH-000212,Breast,7.922866139793166,-4.548021932510659
depmap,ACH-000213,Pancreas,4.07546650238473,18.93248800674203
depmap,ACH-000215,CNS/Brain,13.234739632125182,-16.69697636727562
depmap,ACH-000216,Esophagus/Stomach,11.745649718630354,12.292829464416576
depmap,ACH-000217,Liver,13.94441577019563,-4.826341063848461
depmap,ACH-000219,Skin,2.4341045997849076,-12.252318197230675
depmap,ACH-000221,Liver,-6.85423450878106,-15.993584558841551
depmap,ACH-000222,Pancreas,11.854907411031208,17.927056308756843
depmap,ACH-000223,Breast,12.913326240747699,6.586293314406158
depmap,ACH-000226,Lymphoid,-22.3537659000196,-4.2646993024415
depmap,ACH-000227,Peripheral Nervous System,-18.509793353581944,-19.204284527377283
depmap,ACH-000228,Head and Neck,19.821770928473278,14.000430616751242
depmap,ACH-000231,CNS/Brain,16.83153704021851,-16.545744200857428
depmap,ACH-000232,CNS/Brain,7.083503259461473,-13.420960699113532
depmap,ACH-000233,Lymphoid,-15.067550870808777,-0.3796835319323644
depmap,ACH-000234,Kidney,11.466221714995788,-2.1051578457139373
depmap,ACH-000235,Pancreas,10.391517111741287,11.873721223693261
depmap,ACH-000237,Ovary/Fallopian Tube,19.16160573312726,-4.806015013235852
depmap,ACH-000238,Head and Neck,14.796086189016691,13.699519859885806
depmap,ACH-000239,Esophagus/Stomach,6.444142575664742,8.822743015219643
depmap,ACH-000242,Bladder/Urinary Tract,5.402034361147315,8.614071417518582
depmap,ACH-000243,Pancreas,9.666042783946484,4.894988452703127
depmap,ACH-000244,CNS/Brain,15.814481039089493,-17.06713532519401
depmap,ACH-000247,Esophagus/Stomach,1.877031631820649,13.52328186508914
depmap,ACH-000248,Breast,0.983891692662029,5.544499616881644
depmap,ACH-000249,Bowel,8.96029730902091,5.595144048589043
depmap,ACH-000250,Kidney,10.855522600263441,-5.671977132196752
depmap,ACH-000251,Lung,8.553834416347023,1.8778878966378723
depmap,ACH-000252,Bowel,-0.8878673902488781,12.948399653672789
depmap,ACH-000253,Bowel,8.051359553940376,4.489039654301824
depmap,ACH-000255,Esophagus/Stomach,12.544079647633133,-13.397458011976765
depmap,ACH-000256,Ovary/Fallopian Tube,-4.5699042185874035,5.770599489189939
depmap,ACH-000257,Lung,-8.07069808576281,-12.67001090007825
depmap,ACH-000258,Breast,-9.57073479171445,-0.3242494401036724
depmap,ACH-000259,Peripheral Nervous System,-15.605861160367322,-16.860527732815534
depmap,ACH-000260,Peripheral Nervous System,2.718172312488243,-14.025998196769988
depmap,ACH-000261,Lung,11.390819494658807,-9.407666782781515
depmap,ACH-000262,Kidney,13.19779276258536,-6.490067423244054
depmap,ACH-000263,Myeloid,-29.200757190791204,-2.3184341385284073
depmap,ACH-000264,Lung,2.0147577674907913,-4.049154450314197
depmap,ACH-000265,Pancreas,2.388785137021166,-7.1399006471472415
depmap,ACH-000266,Pancreas,15.631276767640031,12.756208872227447
depmap,ACH-000268,Biliary Tract,-0.9161335176529873,15.038595474120656
depmap,ACH-000269,CNS/Brain,6.09677151807596,-15.17883050883682
depmap,ACH-000271,Lymphoid,-42.10328797588987,-1.569415649162146
depmap,ACH-000272,Kidney,5.150296648964073,8.477446289592784
depmap,ACH-000273,CNS/Brain,14.259479944698917,-11.367069387014054
depmap,ACH-000274,Skin,8.440057874074988,-14.18146506610121
depmap,ACH-000276,Breast,19.28678054130555,-5.182087126423534
depmap,ACH-000277,Breast,-2.202664023054811,7.208121919555805
depmap,ACH-000278,Ovary/Fallopian Tube,9.540962429653586,2.756550771629522
depmap,ACH-000279,Bone,-14.266222075598499,-17.18483587590013
depmap,ACH-000280,Ovary/Fallopian Tube,18.020186382459748,3.8216315109753496
depmap,ACH-000281,Pancreas,5.842065141694443,11.35577766741562
depmap,ACH-000286,Bowel,2.779881317521759,15.666949993699465
depmap,ACH-000288,Breast,10.458780724014426,-14.318154339211246
depmap,ACH-000290,Lung,-13.468457611685102,-14.780094490113571
depmap,ACH-000291,Ovary/Fallopian Tube,-0.5844849908791908,6.347889392994524
depmap,ACH-000292,Lung,-4.7571373468365294,-11.363510378061841
depmap,ACH-000293,Uterus,7.546768109455149,0.7979665297216828
depmap,ACH-000294,Myeloid,-30.260873166051194,-6.693181968337343
depmap,ACH-000295,Myeloid,-28.550030922371178,-3.5258070024367387
depmap,ACH-000296,Bowel,4.419907958836127,4.677876893639034
depmap,ACH-000302,Uterus,5.07555671746462,11.942851142002109
depmap,ACH-000303,Esophagus/Stomach,4.993474710457469,2.3282276510054203
depmap,ACH-000304,Skin,16.03994693737881,-17.144901497782396
depmap,ACH-000305,Esophagus/Stomach,13.70548181278445,20.389226859437628
depmap,ACH-000307,Pancreas,12.586262631087184,9.535154404622064
depmap,ACH-000308,Ovary/Fallopian Tube,12.86836532900302,-3.2845911419286695
depmap,ACH-000310,Peripheral Nervous System,-18.6785835454226,-18.394554479891678
depmap,ACH-000311,Lung,3.796634582947606,14.619039614075948
depmap,ACH-000312,Peripheral Nervous System,-14.442236887271932,-19.327732885880707
depmap,ACH-000313,Kidney,24.108820247039063,-3.49514169228702
depmap,ACH-000315,Lymphoid,-33.81924894746927,-8.483210926189292
depmap,ACH-000316,Liver,16.950772942708742,-10.285540191039129
depmap,ACH-000317,Kidney,12.904439337762131,4.42982464603044
depmap,ACH-000318,Esophagus/Stomach,3.9529122397322096,13.722390157669865
depmap,ACH-000319,Pleura,13.692993652942334,-11.014910592392967
depmap,ACH-000320,Pancreas,6.927538868375579,-1.6316242753053423
depmap,ACH-000322,Skin,10.774747124772968,-15.428025492644187
depmap,ACH-000323,CNS/Brain,14.407884287443329,-15.791812176198409
depmap,ACH-000324,Ovary/Fallopian Tube,12.205802301033183,-2.1490420198716405
depmap,ACH-000325,Esophagus/Stomach,3.0223648234531817,11.289813763267823
depmap,ACH-000326,Myeloid,-20.118812479376455,-2.487365456771187
depmap,ACH-000329,CNS/Brain,14.91507513522183,-21.141694114630575
depmap,ACH-000330,Breast,-5.615127811392376,5.896474068321778
depmap,ACH-000331,Pleura,13.503298436514614,-10.419976865729023
depmap,ACH-000332,Pancreas,13.61406902567923,3.905735837530273
depmap,ACH-000334,Lymphoid,-40.055245192720655,-12.755382705685715
depmap,ACH-000335,Pleura,7.159085413689279,-12.38944740959044
depmap,ACH-000336,Myeloid,-26.81118522501866,3.9744233074017212
depmap,ACH-000337,Lung,-2.8850117282103223,10.465917823641156
depmap,ACH-000338,Lymphoid,-18.207704555207314,-6.829521446117727
depmap,ACH-000339,Lung,13.552797883471655,-5.735594965745133
depmap,ACH-000341,Peripheral Nervous System,-8.027668200513485,-23.52643214938548
depmap,ACH-000343,Lung,-7.233004160002102,-12.417683774197108
depmap,ACH-000344,Esophagus/Stomach,4.050289086782392,0.8866083350132177
depmap,ACH-000345,Peripheral Nervous System,-15.784154645916098,-23.09700558730165
depmap,ACH-000346,Lymphoid,-26.686798194600033,6.1573260767111275
depmap,ACH-000348,Skin,17.168068144025565,-14.004168436843125
depmap,ACH-000350,Bowel,7.539909416941964,6.793448096327212
depmap,ACH-000352,Breast,0.25529595112915715,-0.01575861151375259
depmap,ACH-000354,Pancreas,8.74557796097499,11.093961891919614
depmap,ACH-000355,Lung,-18.967906820016136,-16.817228324448322
depmap,ACH-000356,Esophagus/Stomach,6.308437149729362,6.325572620437181
depmap,ACH-000359,Bone,4.912402202609043,-11.761561906486548
depmap,ACH-000361,Liver,10.248043074967352,-5.737948689508042
depmap,ACH-000362,Myeloid,-34.55309471199837,1.9610972615053572
depmap,ACH-000363,Lymphoid,-27.00284064800775,2.4176440499880183
depmap,ACH-000364,Bone,9.164191751278718,-12.35644029709007
depmap,ACH-000365,Lymphoid,-41.482146820505555,0.42616547402303184
depmap,ACH-000366,Peripheral Nervous System,-15.164746954403498,-22.69710674871808
depmap,ACH-000367,Pleura,14.709710295724921,-3.8784198289777434
depmap,ACH-000368,CNS/Brain,20.42214606521347,-19.811533104979947
depmap,ACH-000370,CNS/Brain,9.119876031601157,-13.860293667014272
depmap,ACH-000371,Lymphoid,-41.56274472530376,-6.764589880465114
depmap,ACH-000373,Myeloid,-21.325735483987984,-4.611803251931588
depmap,ACH-000374,Breast,16.820444107046836,-0.1220930636027322
depmap,ACH-000375,Kidney,-2.0516650048065284,-8.48584040337765
depmap,ACH-000376,CNS/Brain,11.805631018839932,-16.41524868520578
depmap,ACH-000377,Ampulla of Vater,11.32039510360887,8.835397572644446
depmap,ACH-000378,Lung,12.454739997449954,-0.6007769696570346
depmap,ACH-000381,Bowel,2.8106320619505327,13.441904361903749
depmap,ACH-000383,Esophagus/Stomach,12.620338668454474,11.140779374829885
depmap,ACH-000385,Kidney,15.630689892382545,-2.605105179758108
depmap,ACH-000387,Myeloid,-19.943002083265803,-8.232517102933471
depmap,ACH-000389,CNS/Brain,11.941819696535479,-11.882324574707203
depmap,ACH-000390,Lung,9.746855052536942,9.33715594866797
depmap,ACH-000391,Bone,-6.724644055727778,-12.507558969258067
depmap,ACH-000393,Liver,13.036922011220708,-15.565268957830753
depmap,ACH-000395,Lung,-6.650229358540267,-8.701402559457753
depmap,ACH-000396,Bladder/Urinary Tract,14.34975697473694,-10.996759910583048
depmap,ACH-000397,Uterus,6.36815841098833,4.1673019012088295
depmap,ACH-000398,Lymphoid,-31.231012029398684,-5.093094948897337
depmap,ACH-000401,Skin,11.516011041688,-14.858862336885162
depmap,ACH-000402,Lymphoid,-43.371627967146324,-5.0610696384355665
depmap,ACH-000403,Bowel,7.08278114819363,6.263779681509875
depmap,ACH-000404,Skin,5.3180141883729855,-10.177894992368513
depmap,ACH-000405,Lymphoid,-31.048084911324317,-2.5965816269114135
depmap,ACH-000406,Myeloid,-28.960866676702313,-4.20829373850233
depmap,ACH-000407,Uterus,7.340765783687308,-7.2130448380808385
depmap,ACH-000408,Esophagus/Stomach,4.244083702347408,18.3717290253109
depmap,ACH-000410,Bone,10.281951035519398,-20.72964697142018
depmap,ACH-000411,Kidney,10.235639719494252,-2.1361828208427815
depmap,ACH-000414,Lung,2.4207115991646035,4.476239223163593
depmap,ACH-000415,Head and Neck,-2.5776801755498515,35.018261431276926
depmap,ACH-000416,Lung,-2.717007479796843,-3.484420850717925
depmap,ACH-000417,Pancreas,12.903204388158356,8.734423628529818
depmap,ACH-000420,Liver,13.65127793917435,-8.2237834256415
depmap,ACH-000421,Bowel,10.311662279270159,0.9750878438848036
depmap,ACH-000422,Liver,15.02528778408328,-11.977269553766076
depmap,ACH-000424,Bone,-15.638242780548518,-13.434499399267322
depmap,ACH-000425,Skin,5.56910839985472,-10.936357774729473
depmap,ACH-000427,Esophagus/Stomach,4.7911010149303666,10.635565388145892
depmap,ACH-000430,Ovary/Fallopian Tube,-0.7815853862149116,-10.841577174820932
depmap,ACH-000431,Lung,-12.250852645457377,-23.102395974768275
depmap,ACH-000433,Kidney,8.185439263974827,1.1896575832193048
depmap,ACH-000434,Lung,0.2043237707713023,-1.9629494085407495
depmap,ACH-000435,Uterus,1.6338671414184323,14.725928810129648
depmap,ACH-000436,Lymphoid,-33.988470107909414,12.132972842494498
depmap,ACH-000437,CNS/Brain,16.9169595076124,-19.012679483193427
depmap,ACH-000438,Lung,2.857686928619024,1.3768655805679184
depmap,ACH-000441,Skin,7.7268351378336355,-12.540745632885068
depmap,ACH-000442,Lung,23.13851401916798,-12.91923265250777
depmap,ACH-000444,Lung,4.3102265000007085,-8.756714052362652
depmap,ACH-000445,CNS/Brain,18.761603274191867,-12.674485091297763
depmap,ACH-000446,Peripheral Nervous System,8.179729082900593,-13.296311958733575
depmap,ACH-000448,Lung,9.346340822464054,15.227944900944728
depmap,ACH-000450,Skin,0.12523601727332756,-10.956524137259139
depmap,ACH-000452,Esophagus/Stomach,17.356178661707343,-4.6026715546493895
depmap,ACH-000454,Lung,9.832953717730165,4.494431850605073
depmap,ACH-000455,CNS/Brain,1.4998865378798814,-1.8696811388007872
depmap,ACH-000456,Thyroid,11.875728512818178,2.6980257234171576
depmap,ACH-000458,Skin,17.005411846416326,10.498495678294693
depmap,ACH-000459,Kidney,19.22259052770123,-7.414339593539819
depmap,ACH-000460,Ovary/Fallopian Tube,10.545296972124792,7.775749374940187
depmap,ACH-000461,Biliary Tract,6.604657378427202,7.698285135326662
depmap,ACH-000463,Lung,-3.368556341324854,-4.551731602710722
depmap,ACH-000464,CNS/Brain,9.33525940980593,-10.876504548159673
depmap,ACH-000466,Esophagus/Stomach,12.199074763725802,8.114102099160135
depmap,ACH-000467,Bowel,-1.5562114954217985,14.750373726159516
depmap,ACH-000468,Pancreas,9.422687895910638,-2.980898125090894
depmap,ACH-000469,CNS/Brain,20.43301678366837,-16.544060677517045
depmap,ACH-000470,Bowel,-3.8129053657613237,12.580575854591652
