dataset,n_cells,n_genes,n_tissues,clf_accuracy,clf_accuracy_std,clf_chance,clf_lift,clf_lift_std,clf_n_classes,median_eta_X,frac_eta_X_gt030,pc1_var_ratio,pc2_var_ratio,within_median_r,across_median_r,corr_mwu_p,n_outcomes,median_eta_y,frac_outcomes_sig,n_outcomes_sig,frac_outcomes_sig_bonf,n_outcomes_sig_bonf,n_tests_bonf,bonf_alpha
depmap,1076,1071,29,0.7427230046948357,0.02356788807138243,0.041666666666666664,17.825352112676057,0.5656293137131784,24,0.17776799457503828,0.16619981325863678,0.1433906251318453,0.10404990469718757,0.9868121896405064,0.9105757123138318,1.3187199715692086e-102,200,0.09886471395969032,0.91,182,0.81,162,200,0.00025
ctrpv2,820,1109,23,0.7570103247044739,0.02009752220916762,0.045454545454545456,16.654227143498424,0.4421454886016876,22,0.18980431572121453,0.22993688007213706,0.1852070041821669,0.0828318914122943,0.984192598487708,0.896172932269291,6.980371799260535e-90,440,0.21776204604821547,0.9159090909090909,403,0.7568181818181818,333,440,0.00011363636363636364
