dataset,confounder,arm,item,eta2,n
depmap,OncotreeLineage,expression,BPHL,0.18058146476528827,1065
depmap,OncotreeLineage,expression,BRCA1,0.16420501080780464,1065
depmap,OncotreeLineage,expression,BUB3,0.12925985390754968,1065
depmap,OncotreeLineage,expression,BZW2,0.12896625763238084,1065
depmap,OncotreeLineage,expression,C2CD2,0.21891413002806867,1065
depmap,OncotreeLineage,expression,C2CD2L,0.21722508795202325,1065
depmap,OncotreeLineage,expression,C2CD5,0.1545992733019848,1065
depmap,OncotreeLineage,expression,C5,0.0811925118494358,1065
depmap,OncotreeLineage,expression,CAB39,0.09498712127916951,1065
depmap,OncotreeLineage,expression,CALM3,0.13744583850514325,1065
depmap,OncotreeLineage,expression,CALU,0.4438086306488707,1065
depmap,OncotreeLineage,expression,CAMSAP2,0.5048174352169731,1065
depmap,OncotreeLineage,expression,CANT1,0.203081716773282,1065
depmap,OncotreeLineage,expression,CAPN1,0.3146839015922006,1065
depmap,OncotreeLineage,expression,CASC3,0.14758699795886696,1065
depmap,OncotreeLineage,expression,CASP10,0.2733968547696856,1065
depmap,OncotreeLineage,expression,CASP2,0.16950333856953737,1065
depmap,OncotreeLineage,expression,CASP3,0.1592834284855373,1065
depmap,OncotreeLineage,expression,CASP7,0.1501437136865603,1065
depmap,OncotreeLineage,expression,CAST,0.30868336667791135,1065
depmap,OncotreeLineage,expression,CAT,0.20146179980751702,1065
depmap,OncotreeLineage,expression,CBFB,0.15053801777672968,1065
depmap,OncotreeLineage,expression,CBLB,0.09114572261947798,1065
depmap,OncotreeLineage,expression,CBR1,0.24052110076569044,1065
depmap,OncotreeLineage,expression,CBR3,0.30866033724266867,1065
depmap,OncotreeLineage,expression,CCDC85B,0.08981639597601798,1065
depmap,OncotreeLineage,expression,CCDC86,0.08651847021323907,1065
depmap,OncotreeLineage,expression,CCDC92,0.1906846453207644,1065
depmap,OncotreeLineage,expression,CCL2,0.22435095645345632,1065
depmap,OncotreeLineage,expression,CCNA1,0.16256422612027105,1065
depmap,OncotreeLineage,expression,CCNA2,0.11435419223914686,1065
depmap,OncotreeLineage,expression,CCNB1,0.12988471064380078,1065
depmap,OncotreeLineage,expression,CCND1,0.4696267937847372,1065
depmap,OncotreeLineage,expression,CCND3,0.19158935843191446,1065
depmap,OncotreeLineage,expression,CCNE1,0.2146516829399761,1065
depmap,OncotreeLineage,expression,CCNE2,0.15276454149262117,1065
depmap,OncotreeLineage,expression,CCNF,0.15994554938732047,1065
depmap,OncotreeLineage,expression,CCNH,0.1525843598180844,1065
depmap,OncotreeLineage,expression,CCP110,0.1939447516186757,1065
depmap,OncotreeLineage,expression,CD320,0.14705211685420977,1065
depmap,OncotreeLineage,expression,CD40,0.19213704231581016,1065
depmap,OncotreeLineage,expression,CD44,0.25978594618791306,1065
depmap,OncotreeLineage,expression,CDAN1,0.1611282405830647,1065
depmap,OncotreeLineage,expression,CDC20,0.14620927700541145,1065
depmap,OncotreeLineage,expression,CDC25A,0.2462202138065807,1065
depmap,OncotreeLineage,expression,CDC25B,0.1300039713050842,1065
depmap,OncotreeLineage,expression,CDC42,0.10190664393375169,1065
depmap,OncotreeLineage,expression,CDC45,0.13421663967614433,1065
depmap,OncotreeLineage,expression,CDC6,0.09647272723798281,1065
depmap,OncotreeLineage,expression,CDCA4,0.11602731879520688,1065
depmap,OncotreeLineage,expression,CDH3,0.46565518155750985,1065
depmap,OncotreeLineage,expression,CDK1,0.07984454749446378,1065
depmap,OncotreeLineage,expression,CDK19,0.202204187576384,1065
depmap,OncotreeLineage,expression,CDK2,0.21845698898174604,1065
depmap,OncotreeLineage,expression,CDK4,0.21816559058928883,1065
depmap,OncotreeLineage,expression,CDK5R1,0.23350574991341147,1065
depmap,OncotreeLineage,expression,CDK6,0.21628419050294853,1065
depmap,OncotreeLineage,expression,CDK7,0.13700642328396542,1065
depmap,OncotreeLineage,expression,CDKN1B,0.10802341974235188,1065
depmap,OncotreeLineage,expression,CDKN2A,0.10299725474975177,1065
depmap,OncotreeLineage,expression,CEBPD,0.2747184904460868,1065
depmap,OncotreeLineage,expression,CEBPZ,0.11135264234089172,1065
depmap,OncotreeLineage,expression,CENPE,0.14011293604170866,1065
depmap,OncotreeLineage,expression,CENPF,0.1382528805338678,1065
depmap,OncotreeLineage,expression,CENPW,0.05928625044928758,1065
depmap,OncotreeLineage,expression,CEP55,0.12748407720429944,1065
depmap,OncotreeLineage,expression,CEP57,0.13257710690703517,1065
depmap,OncotreeLineage,expression,CERK,0.23242018548233223,1065
depmap,OncotreeLineage,expression,CETN3,0.0764231379175938,1065
depmap,OncotreeLineage,expression,CFL1,0.09432855132208154,1065
depmap,OncotreeLineage,expression,CFLAR,0.25773583154992485,1065
depmap,OncotreeLineage,expression,CGRRF1,0.1600620362364328,1065
depmap,OncotreeLineage,expression,CHAC1,0.04814448599438577,1065
depmap,OncotreeLineage,expression,CHAF1B,0.16061177041842828,1065
depmap,OncotreeLineage,expression,CHEK1,0.18855456058785094,1065
depmap,OncotreeLineage,expression,CHEK2,0.11279735169840113,1065
depmap,OncotreeLineage,expression,CHIC2,0.06914231224971583,1065
depmap,OncotreeLineage,expression,CHMP4B,0.18202954386399692,1065
depmap,OncotreeLineage,expression,CHMP6,0.1461533288824715,1065
depmap,OncotreeLineage,expression,CHN1,0.3601795678118753,1065
depmap,OncotreeLineage,expression,CIAO3,0.13810128954083492,1065
depmap,OncotreeLineage,expression,CIAPIN1,0.1040491742655387,1065
depmap,OncotreeLineage,expression,CIRBP,0.20880212214190144,1065
depmap,OncotreeLineage,expression,CISD1,0.0845850306181558,1065
depmap,OncotreeLineage,expression,CLIC4,0.30368172777119706,1065
depmap,OncotreeLineage,expression,CLPX,0.11364428932160729,1065
depmap,OncotreeLineage,expression,CLSTN1,0.17984103105215923,1065
depmap,OncotreeLineage,expression,CLTB,0.2114616040986149,1065
depmap,OncotreeLineage,expression,CLTC,0.22626709097173964,1065
depmap,OncotreeLineage,expression,CNDP2,0.16026071047958218,1065
depmap,OncotreeLineage,expression,CNOT4,0.13345837493756307,1065
depmap,OncotreeLineage,expression,CNPY3,0.15858813376970404,1065
depmap,OncotreeLineage,expression,COASY,0.09690145812095001,1065
depmap,OncotreeLineage,expression,COG2,0.11649655993269273,1065
depmap,OncotreeLineage,expression,COG4,0.11137662107088842,1065
depmap,OncotreeLineage,expression,COG7,0.0746785452193936,1065
depmap,OncotreeLineage,expression,COL1A1,0.30152309168517943,1065
depmap,OncotreeLineage,expression,COL4A1,0.4016883123990374,1065
depmap,OncotreeLineage,expression,COPB2,0.18964845666410188,1065
depmap,OncotreeLineage,expression,COPG1,0.15873755056753727,1065
depmap,OncotreeLineage,expression,COPS7A,0.26513231698992673,1065
depmap,OncotreeLineage,expression,CORO1A,0.6188966157434,1065
depmap,OncotreeLineage,expression,CPNE3,0.15832553885807762,1065
depmap,OncotreeLineage,expression,CPSF4,0.14399550746301237,1065
depmap,OncotreeLineage,expression,CREB1,0.16990818615489658,1065
depmap,OncotreeLineage,expression,CREG1,0.13641933178652726,1065
depmap,OncotreeLineage,expression,CRELD2,0.14187109953892074,1065
depmap,OncotreeLineage,expression,CRK,0.41538773233240306,1065
depmap,OncotreeLineage,expression,CRKL,0.0677106404897984,1065
depmap,OncotreeLineage,expression,CRTAP,0.3806602912683421,1065
depmap,OncotreeLineage,expression,CRYZ,0.21420793247843756,1065
depmap,OncotreeLineage,expression,CSK,0.3500333576015072,1065
depmap,OncotreeLineage,expression,CSNK1A1,0.13841979288400544,1065
depmap,OncotreeLineage,expression,CSNK1E,0.0983415246011635,1065
depmap,OncotreeLineage,expression,CSNK2A2,0.07073258436936582,1065
depmap,OncotreeLineage,expression,CSRP1,0.1708334211696545,1065
depmap,OncotreeLineage,expression,CTNNAL1,0.19149554874702063,1065
depmap,OncotreeLineage,expression,CTNND1,0.6368329880103626,1065
depmap,OncotreeLineage,expression,CTPS1,0.2142895215251575,1065
depmap,OncotreeLineage,expression,CTTN,0.6040193243348145,1065
depmap,OncotreeLineage,expression,CXCL2,0.24610494716179204,1065
depmap,OncotreeLineage,expression,CXCR4,0.4172030221271306,1065
depmap,OncotreeLineage,expression,CXXC5,0.11272842991895127,1065
depmap,OncotreeLineage,expression,CYB561,0.3873680454078332,1065
depmap,OncotreeLineage,expression,CYTH1,0.2232970909789198,1065
depmap,OncotreeLineage,expression,DAG1,0.5030385920224161,1065
depmap,OncotreeLineage,expression,DAXX,0.16606746705783584,1065
depmap,OncotreeLineage,expression,DBR1,0.09208409842245396,1065
depmap,OncotreeLineage,expression,DCK,0.23774701824867206,1065
depmap,OncotreeLineage,expression,DCTD,0.11093987408198584,1065
depmap,OncotreeLineage,expression,DCUN1D4,0.19442262656895226,1065
depmap,OncotreeLineage,expression,DDB2,0.07861844870682243,1065
depmap,OncotreeLineage,expression,DDIT4,0.10266637373327654,1065
depmap,OncotreeLineage,expression,DDR1,0.5455074133669332,1065
depmap,OncotreeLineage,expression,DDX10,0.15238316660355553,1065
depmap,OncotreeLineage,expression,DDX3X,0.09416146720708432,1065
depmap,OncotreeLineage,expression,DDX42,0.1230034064949936,1065
depmap,OncotreeLineage,expression,DECR1,0.08456833245086992,1065
depmap,OncotreeLineage,expression,DENND2D,0.35211880922687955,1065
depmap,OncotreeLineage,expression,DERA,0.15675638155372057,1065
depmap,OncotreeLineage,expression,DFFA,0.14466530646702822,1065
depmap,OncotreeLineage,expression,DFFB,0.23208628500247613,1065
depmap,OncotreeLineage,expression,DHDDS,0.12220589168504603,1065
depmap,OncotreeLineage,expression,DHFR,0.14295022886328385,1065
depmap,OncotreeLineage,expression,DHRS7,0.20173822672263414,1065
depmap,OncotreeLineage,expression,DHX29,0.15248074449398016,1065
depmap,OncotreeLineage,expression,DIPK1A,0.2549357959527588,1065
depmap,OncotreeLineage,expression,DLD,0.11891501270620465,1065
depmap,OncotreeLineage,expression,DMTF1,0.19164880003111398,1065
depmap,OncotreeLineage,expression,DNAJA3,0.10643150320572672,1065
depmap,OncotreeLineage,expression,DNAJB1,0.274994015041603,1065
depmap,OncotreeLineage,expression,DNAJB2,0.18945229414303386,1065
depmap,OncotreeLineage,expression,DNAJB6,0.1823429918004363,1065
depmap,OncotreeLineage,expression,DNAJC15,0.10982490914236492,1065
depmap,OncotreeLineage,expression,DNAJC9,0.11184699254964037,1065
depmap,OncotreeLineage,expression,DNM1,0.22108364814450632,1065
depmap,OncotreeLineage,expression,DNM1L,0.10556948965164177,1065
depmap,OncotreeLineage,expression,DNM2,0.1851072150998709,1065
depmap,OncotreeLineage,expression,DNMT1,0.23247108564988397,1065
depmap,OncotreeLineage,expression,DNMT3A,0.2100197144199954,1065
depmap,OncotreeLineage,expression,DNTTIP2,0.07726965613446382,1065
depmap,OncotreeLineage,expression,DONSON,0.15024897832504208,1065
depmap,OncotreeLineage,expression,DPAGT1,0.1401677309093977,1065
depmap,OncotreeLineage,expression,DPH2,0.10930427151432966,1065
depmap,OncotreeLineage,expression,DRAP1,0.15084292869745147,1065
depmap,OncotreeLineage,expression,DSG2,0.46611191006516717,1065
depmap,OncotreeLineage,expression,DTYMK,0.11628112078052848,1065
depmap,OncotreeLineage,expression,DUSP11,0.09358323827586162,1065
depmap,OncotreeLineage,expression,DUSP14,0.2642722064872251,1065
depmap,OncotreeLineage,expression,DUSP22,0.3088271702846165,1065
depmap,OncotreeLineage,expression,DUSP3,0.424211782359006,1065
depmap,OncotreeLineage,expression,DUSP4,0.3065790205157534,1065
