method,n_rows,corr_AB,gap_A,gap_B,gap_full,breast_full
adae,3904,0.9775559332590643,0.1783764775612124,0.1783603167048548,0.19563651910345492,0.6386088593717981
dann,3904,0.9793328671694852,0.16573071775532305,0.16529344888788666,0.17904592251474954,0.630708250559509
irm,3904,0.9790089348644617,0.18532621900704854,0.18657385016401956,0.20326478219362526,0.6452195742326713
marginal,3904,0.9792494995447782,0.1780436533042437,0.17815097961605558,0.19395562623200552,0.636648838526973
residualized,3904,0.9889322986348246,0.3044687369714651,0.30487885425847155,0.3209135325415246,0.6483899699793853
within_tissue,3904,0.9922286655004475,0.31638796482287196,0.31556619885101517,0.3286707080577854,0.647336894324333
