,eta2
CRELD2,0.20108113726124557
CRK,0.540415124236992
CRKL,0.06145879083507257
CRTAP,0.33303298671523596
CRYZ,0.25467361331442506
CSK,0.465594141687691
CSNK1A1,0.21599376047904015
CSNK1D,0.16749412039233327
CSNK1E,0.14447737074995426
CSNK2A1,0.07663852694677589
CSNK2A2,0.09875239012963337
CSRP1,0.23779896585673663
CTNNAL1,0.26287210910591835
CTNND1,0.6832562691945189
CTTN,0.7208343855251818
CUL1,0.13958236410336947
CXCL2,0.2633305930697814
CXCR2,0.196894307685123
CXCR4,0.46965679233242613
CXXC5,0.14678819428455225
CYB561,0.4472751130324135
CYTH1,0.27734185140315104
DAG1,0.6371815878175616
DAXX,0.16619471365355043
DCK,0.32710774377846297
DCLK1,0.2761427559820418
DCTD,0.1252370036203814
DCUN1D4,0.13323206778658406
DDB2,0.0852589539165082
DDIT4,0.10315850954609661
DDR1,0.624136464154378
DDX10,0.11407539059257894
DDX42,0.11764209827941376
DECR1,0.10527934035877859
DENND2D,0.30447166769624684
DERA,0.20946089939772744
DFFA,0.14731599713636406
DFFB,0.2781798777522457
DHDDS,0.14735988208007278
DHFR,0.13891543307644624
DHRS7,0.2095869919981327
DHX29,0.16207911614895015
DIABLO,0.10821428698676745
DIPK1A,0.18866039460691514
DLD,0.13864926644614806
DMTF1,0.1504835326009002
DNAJA3,0.1314198307979751
DNAJB1,0.32445943127587196
DNAJB2,0.24982218737930378
DNAJB6,0.19428915498091257
DNAJC15,0.11922212623341188
DNM1,0.2709188984265463
DNM1L,0.06918690954988561
DNMT1,0.2865377406712278
DNMT3A,0.20178148742231156
DNTTIP2,0.08230378742649937
DPH2,0.1254366506274851
DRAP1,0.240919587766377
DRD2,0.15880228493112972
DSG2,0.5278450027979205
DUSP11,0.09983050629522262
DUSP14,0.32105710956432826
DUSP22,0.3011910022750052
DUSP3,0.4530456651992081
DUSP4,0.3168708031304381
DUSP6,0.2374143275698569
DYRK3,0.21239170315216266
E2F2,0.3663858400440798
EAPP,0.07988516535053677
EBNA1BP2,0.1501601328398217
ECD,0.09245701600096264
ECH1,0.11477736709483197
EDEM1,0.41032611553485465
EDN1,0.3482062042622132
EED,0.12021735616485023
EFCAB14,0.15773641937031357
EGF,0.27395297726047224
EGFR,0.6130098581339479
EGR1,0.23372798020462232
EHMT1,0.14940866616511694
EHMT2,0.22257723549682876
EIF4A2,0.07082806156510849
EIF4E,0.16731591722712832
EIF4EBP1,0.1677705227409542
EIF4G1,0.10049716888860931
EIF5,0.16177276034388569
ELAC2,0.07375912883758635
ELAVL1,0.18106298033388385
ELOVL6,0.06452158556554408
EML3,0.1979966653261695
ENOPH1,0.16160175331361726
ENOSF1,0.2799046246484681
EPB41L2,0.19338160398986767
EPHA2,0.6707311451843896
EPHA3,0.25285165549574873
EPHB2,0.46784425629152215
EPN2,0.4558114836043706
EPRS1,0.10712366790776526
ERBB2,0.5336638296017208
ERBB3,0.5467312633629189
ESR1,0.24291387388669397
ESR2,0.17440722755369345
ETFB,0.08750168366222981
ETS1,0.2837498612072177
ETV1,0.3489999764956523
EVL,0.3854216836281508
EXO1,0.20120293098171643
EXOSC4,0.17124949772224085
EXT1,0.47230110118701807
EZH2,0.28548120291382123
F2R,0.308433993553473
FAAH,0.29330673715700134
FAH,0.21582881437799503
FAIM,0.11579687486252603
FAM20B,0.21331858599493025
FAS,0.18884575310117008
FASN,0.17459833238748027
FAT1,0.4967229563985246
FBXL12,0.19028507418980273
FBXO11,0.09616966631542327
FBXO21,0.3075538362218665
FBXO7,0.3811431142782069
FCHO1,0.45918654972828105
FDFT1,0.14465707052507631
FEZ2,0.29851394326804476
FGFR1,0.35010674299392364
FGFR2,0.3164828520654669
FGFR3,0.2920093555978016
FGFR4,0.4152660476717448
FHL2,0.5150139562975564
