dataset,variant,method,tau,auroc,sem,n,published,abs_diff_vs_published
depmap,all4,within_tissue,0.6,0.1753777850559968,0.008335413957786284,138,,
depmap,all4,within_tissue,0.7,0.07390671081438056,0.0068399651482182215,138,,
depmap,full,dann,0.3,0.5503687608370865,0.00260600425725169,200,0.5503687608370865,0.0
depmap,full,dann,0.4,0.5361253262915073,0.003571604535923157,200,0.5361253262915073,0.0
depmap,full,dann,0.5,0.4862755913337309,0.0049722830290235874,200,0.4862755913337309,0.0
depmap,full,dann,0.6,0.42688637790332706,0.007628306295419275,200,0.426886377903327,5.551115123125783e-17
depmap,full,dann,0.7,0.2982178526841448,0.009697441779686367,200,0.2982178526841448,0.0
depmap,a61,dann,0.3,0.5387138445711876,0.0023924114455327636,144,,
depmap,a61,dann,0.4,0.5183895195505102,0.0032560004253850048,144,,
depmap,a61,dann,0.5,0.4604923433048433,0.00427365607152426,144,,
depmap,a61,dann,0.6,0.3966637894957104,0.007761001690334454,144,,
depmap,a61,dann,0.7,0.26838413788320153,0.010947198933832399,144,,
depmap,marginal,dann,0.3,0.5452842195341151,0.0026372943125894974,170,,
depmap,marginal,dann,0.4,0.5280744010103282,0.003564498873363645,170,,
depmap,marginal,dann,0.5,0.47453567294538573,0.0048662746533358415,170,,
depmap,marginal,dann,0.6,0.41147668106790736,0.007712168998465242,170,,
depmap,marginal,dann,0.7,0.2807520011750018,0.010212344714733599,170,,
depmap,all4,dann,0.3,0.5371507694282065,0.002327057734233238,138,,
depmap,all4,dann,0.4,0.5160554776942858,0.0031801977716839915,138,,
depmap,all4,dann,0.5,0.4582940839260354,0.00414073706946602,138,,
depmap,all4,dann,0.6,0.3960109294588947,0.007822305112499062,138,,
depmap,all4,dann,0.7,0.2651780383216631,0.011263896624548488,138,,
depmap,full,adae,0.3,0.6649210869257027,0.00585973924022588,200,0.6649210869257027,0.0
depmap,full,adae,0.4,0.6498133309051175,0.007296900570739923,200,0.6498133309051175,0.0
depmap,full,adae,0.5,0.6075198767640628,0.009489742849889467,200,0.6075198767640628,0.0
depmap,full,adae,0.6,0.5639344005021971,0.012309281875735753,200,0.5639344005021971,0.0
