method,n_targets,corr_AB,mean_A,mean_B,mean_full
adae,200,0.9856378560481555,0.5133691588785048,0.5142803738317757,0.5140467289719627
dann,200,0.9936602198703031,0.631803738317757,0.6369532710280374,0.6345794392523365
irm,200,0.985325803958643,0.6004579439252337,0.6036355140186916,0.6022803738317757
marginal,200,0.9875329292828772,0.6417897196261683,0.6400280373831775,0.6413177570093458
residualized,200,0.98015155691838,0.6803177570093457,0.6847570093457943,0.6831495327102803
within_tissue,200,0.981248553894033,0.6578504672897196,0.6606121495327102,0.6597943925233645
