dataset,item,method,n_cells,r1_pearson,rhalf_pearson,rhalf_spearman,sb_pred_rhalf,full_reliability_sb,in_a61,in_marginal,in_all4,r_wt
ctrpv2,"(1S,3R)-Rsl3",adae,790,0.06498509657291036,0.9834878864964416,0.9789880034819454,0.9648545180026415,0.9916752133370853,True,True,True,0.2322712875663208
ctrpv2,"(1S,3R)-Rsl3",between_tissue,790,0.31246687687403596,0.9956170620151479,0.9943083646419659,0.9944603793110961,0.9978037179235046,True,True,True,
ctrpv2,"(1S,3R)-Rsl3",dann,790,0.17498853104006792,0.9854878390247747,0.9808822972459692,0.988204935408914,0.9926908839782402,True,True,True,0.2804469747185419
ctrpv2,"(1S,3R)-Rsl3",irm,790,0.16102025060997951,0.9844378821926781,0.9785511958239097,0.9869808505916511,0.9921579214209886,True,True,True,0.2037803919794475
ctrpv2,"(1S,3R)-Rsl3",marginal,790,0.13348390174675465,0.983842557807295,0.9751342755645913,0.9838314399378795,0.9918554816111196,True,True,True,0.2794395448445737
ctrpv2,"(1S,3R)-Rsl3",residualized,790,0.150183165209399,0.9823750286870043,0.9772813252976537,0.9858769116045933,0.9911091639785892,True,True,True,0.2720234413499565
ctrpv2,"(1S,3R)-Rsl3",within_tissue,790,0.08393723025229682,0.9805333042604378,0.9702575973160602,0.9731133355410986,0.9901709828874444,True,True,True,0.2794395448445737
ctrpv2,16beta-Bromoandrosterone,adae,187,0.05236278244793087,0.8812550431177808,0.8723716248959331,0.8371022914865078,0.9368799263467091,True,True,True,0.3886318764978499
ctrpv2,16beta-Bromoandrosterone,between_tissue,187,0.30090954009870274,0.9671256335961049,0.9636219227440896,0.9756275862712183,0.983288120574283,True,True,True,
ctrpv2,16beta-Bromoandrosterone,dann,187,0.13785029902642992,0.9149108337759746,0.8933809077645251,0.9369876213272837,0.9555649460417748,True,True,True,0.3321391845918851
