ground_truth,method,n_targets,corr_AB,mean_A,mean_B,mean_full
coessG_0.01,adae,200,0.9897325957238369,0.47396108490566036,0.4733983490566038,0.4734966981132075
coessG_0.01,dann,200,0.9864062110463663,0.49875094339622633,0.4983396226415094,0.4985202830188679
coessG_0.01,irm,200,0.9805973240783874,0.5028132075471698,0.5029589622641509,0.5025849056603774
coessG_0.01,marginal,200,0.9843457719510962,0.5084108490566038,0.5086905660377359,0.5085594339622642
coessG_0.01,residualized,200,0.9771237846582803,0.5103688679245283,0.510301179245283,0.5104084905660377
coessG_0.01,within_tissue,200,0.9764071874478246,0.5202110849056604,0.5209603773584905,0.5206900943396225
coessW_0.01,adae,200,0.9901093345744123,0.46236462264150946,0.46165306603773587,0.4618443396226415
coessW_0.01,dann,200,0.9843118799707492,0.4995995283018868,0.49885849056603776,0.4992415094339623
coessW_0.01,irm,200,0.9830446623147245,0.4998698113207547,0.5003849056603774,0.499808962264151
coessW_0.01,marginal,200,0.9861000283858533,0.5064566037735849,0.5074665094339622,0.5069806603773584
coessW_0.01,residualized,200,0.9755357907714306,0.5174174528301887,0.5180558962264151,0.5177905660377359
coessW_0.01,within_tissue,200,0.9793491773725584,0.5227134433962264,0.523520283018868,0.5231655660377359
string,adae,169,0.9859257475186248,0.470504899603892,0.4699710736352392,0.4700468243867157
string,dann,169,0.9919225770470768,0.5067075968867336,0.5079213162609136,0.5072114519184941
string,irm,169,0.9853029124307245,0.51608206366325,0.5187506490352758,0.5174597447054923
string,marginal,169,0.9832127352708558,0.5081581774878488,0.5099058088206572,0.5092043981241141
string,residualized,169,0.977239078095972,0.5252399779065818,0.5246655930762526,0.5251987427263533
string,within_tissue,169,0.9791123583282608,0.5250368878403465,0.5256611153283349,0.5250008325377356
RANDOM,adae,200,0.9844910249711105,0.5086287735849057,0.5082556603773585,0.5084466981132075
RANDOM,dann,200,0.9852644255068179,0.5132301886792453,0.5148495283018868,0.5140948113207547
RANDOM,irm,200,0.9785265403689687,0.49882641509433967,0.5009212264150943,0.4999533018867925
RANDOM,marginal,200,0.9765381178699138,0.5113608490566038,0.5094537735849056,0.5103792452830188
RANDOM,residualized,200,0.9754217035885405,0.4928198113207547,0.4912334905660377,0.49210778301886793
RANDOM,within_tissue,200,0.9753547457245305,0.5059212264150943,0.5069966981132076,0.5064905660377359
CORUM,adae,40,0.9872675097133162,0.4727054440287953,0.4711071193376236,0.47184220215173694
CORUM,dann,40,0.9950349416749427,0.47359778305198025,0.4739830364874642,0.47363647002844234
CORUM,irm,40,0.9902223252652352,0.48431857265567846,0.489119031637983,0.4862725791843765
CORUM,marginal,40,0.9949922911526516,0.49398717635222156,0.4935918403140935,0.493597811647083
CORUM,residualized,40,0.9869641862786025,0.5326834237526155,0.5322672314331579,0.532150233188526
CORUM,within_tissue,40,0.9873692567619426,0.5048670370301457,0.5032451875352363,0.5039662518223257
