set,method,n,marg_mean,method_mean,delta,frac_better,marg_medrank,method_medrank,wilcoxon_p,marg_sem,method_sem,delta_sem
ALL,residualized,69,0.7099,0.6841,-0.0258,0.435,192,263,0.4338902800329806,0.03345,0.0343,0.02344
ALL,within_tissue,69,0.7099,0.6862,-0.0237,0.507,192,223,0.8962437959820081,0.03345,0.0359,0.01785
ALL,irm,69,0.7099,0.6767,-0.0332,0.333,192,299,0.013378211494483792,0.03345,0.03326,0.0169
INTER,residualized,44,0.7284,0.741,0.0126,0.523,172,152,0.364336617404902,0.04361,0.0405,0.02493
INTER,within_tissue,44,0.7284,0.7122,-0.0163,0.432,172,200,0.922180550079431,0.04361,0.0445,0.01992
INTER,irm,44,0.7284,0.7159,-0.0126,0.341,172,269,0.12305093464104497,0.04361,0.03893,0.01947
