dataset,item,method,lam,n_cells,n_tissues,contam_50,attr_eta2,within_r,global_r
ctrpv2,BRD-K71935468,irm,0.0,322,21,0.04,0.1444,0.1862,0.2182
ctrpv2,BRD-K71935468,marginal,,322,21,0.08,0.1471,0.2078,0.2395
ctrpv2,BRD-K71935468,residualized,,322,21,0.18,0.0624,0.2339,0.1669
ctrpv2,BRD-K71935468,within_tissue,,322,21,0.04,0.0412,0.2078,0.2395
ctrpv2,BRD-K71935468,irm,0.1,322,21,0.18,0.1388,0.1459,0.1933
ctrpv2,BRD-K71935468,irm,1.0,322,21,0.16,0.1369,0.1345,0.1809
ctrpv2,BRD-K71935468,irm,10.0,322,21,0.08,0.1416,0.0496,0.1025
ctrpv2,BRD-K71935468,irm,100.0,322,21,0.08,0.1416,0.0493,0.1023
ctrpv2,BRD-K71935468,irm,1000.0,322,21,0.08,0.1416,0.0493,0.1024
ctrpv2,FQI-1,irm,0.0,275,23,0.2,0.131,0.0202,0.1991
ctrpv2,FQI-1,marginal,,275,23,0.3,0.1289,0.0654,0.2345
ctrpv2,FQI-1,residualized,,275,23,0.1,0.0745,0.133,0.1912
ctrpv2,FQI-1,within_tissue,,275,23,0.06,0.0549,0.0654,0.2345
ctrpv2,FQI-1,irm,0.1,275,23,0.2,0.1172,-0.0105,0.1418
ctrpv2,FQI-1,irm,1.0,275,23,0.2,0.1159,-0.0179,0.1317
ctrpv2,FQI-1,irm,10.0,275,23,0.2,0.1157,-0.0188,0.1303
ctrpv2,FQI-1,irm,100.0,275,23,0.2,0.1157,-0.0187,0.1305
ctrpv2,FQI-1,irm,1000.0,275,23,0.2,0.1157,-0.0188,0.1305
ctrpv2,MI-2,irm,0.0,145,22,0.2,0.2172,0.1335,0.1684
ctrpv2,MI-2,marginal,,145,22,0.44,0.2199,0.071,0.146
ctrpv2,MI-2,residualized,,145,22,0.2,0.1455,0.3301,0.3109
ctrpv2,MI-2,within_tissue,,145,22,0.1,0.0728,0.071,0.146
ctrpv2,MI-2,irm,0.1,145,22,0.38,0.2123,0.1129,0.1832
ctrpv2,MI-2,irm,1.0,145,22,0.38,0.2123,0.1123,0.1828
ctrpv2,MI-2,irm,10.0,145,22,0.38,0.2123,0.1122,0.1827
ctrpv2,MI-2,irm,100.0,145,22,0.38,0.2123,0.1122,0.1827
ctrpv2,MI-2,irm,1000.0,145,22,0.38,0.2123,0.1122,0.1827
ctrpv2,"(1S,3R)-Rsl3",irm,0.0,791,23,0.24,0.1255,0.3258,0.5312
ctrpv2,"(1S,3R)-Rsl3",marginal,,791,23,0.26,0.1242,0.2901,0.5178
ctrpv2,"(1S,3R)-Rsl3",residualized,,791,23,0.2,0.0255,0.2881,0.5139
ctrpv2,"(1S,3R)-Rsl3",within_tissue,,791,23,0.14,0.0225,0.2901,0.5178
ctrpv2,"(1S,3R)-Rsl3",irm,0.1,791,23,0.16,0.1032,0.21,0.3977
ctrpv2,"(1S,3R)-Rsl3",irm,1.0,791,23,0.16,0.1022,0.2016,0.3854
ctrpv2,"(1S,3R)-Rsl3",irm,10.0,791,23,0.16,0.1021,0.2005,0.3841
ctrpv2,"(1S,3R)-Rsl3",irm,100.0,791,23,0.16,0.1021,0.2007,0.3844
ctrpv2,"(1S,3R)-Rsl3",irm,1000.0,791,23,0.16,0.1021,0.2008,0.3845
ctrpv2,PRIMA-1-Met,irm,0.0,130,20,0.22,0.2229,0.121,0.1679
ctrpv2,PRIMA-1-Met,marginal,,130,20,0.48,0.223,0.0863,0.1722
ctrpv2,PRIMA-1-Met,residualized,,130,20,0.04,0.1623,0.2817,0.0882
ctrpv2,PRIMA-1-Met,within_tissue,,130,20,0.14,0.0381,0.0863,0.1722
ctrpv2,PRIMA-1-Met,irm,0.1,130,20,0.22,0.2014,-0.0099,0.0402
ctrpv2,PRIMA-1-Met,irm,1.0,130,20,0.16,0.1989,-0.0435,-0.0341
ctrpv2,PRIMA-1-Met,irm,10.0,130,20,0.16,0.1987,-0.0439,-0.0348
ctrpv2,PRIMA-1-Met,irm,100.0,130,20,0.16,0.1987,-0.0435,-0.0347
ctrpv2,PRIMA-1-Met,irm,1000.0,130,20,0.16,0.1987,-0.0435,-0.0347
ctrpv2,fumonisin B1,irm,0.0,119,19,0.7,0.2164,-0.0073,0.1266
ctrpv2,fumonisin B1,marginal,,119,19,0.46,0.2187,-0.0429,0.0417
ctrpv2,fumonisin B1,residualized,,119,19,0.1,0.1964,0.096,0.1535
ctrpv2,fumonisin B1,within_tissue,,119,19,0.52,0.102,-0.0429,0.0417
ctrpv2,fumonisin B1,irm,0.1,119,19,0.26,0.2104,0.0441,0.0095
ctrpv2,fumonisin B1,irm,1.0,119,19,0.22,0.2065,-0.0612,-0.081
ctrpv2,fumonisin B1,irm,10.0,119,19,0.22,0.2065,-0.0615,-0.0816
ctrpv2,fumonisin B1,irm,100.0,119,19,0.22,0.2065,-0.0614,-0.0815
ctrpv2,fumonisin B1,irm,1000.0,119,19,0.22,0.2065,-0.0614,-0.0815
ctrpv2,Teniposide,irm,0.0,388,23,0.22,0.1493,0.3856,0.7411
ctrpv2,Teniposide,marginal,,388,23,0.22,0.1511,0.4123,0.7517
ctrpv2,Teniposide,residualized,,388,23,0.08,0.0604,0.3579,0.7217
ctrpv2,Teniposide,within_tissue,,388,23,0.08,0.036,0.4123,0.7517
ctrpv2,Teniposide,irm,0.1,388,23,0.26,0.1479,0.3234,0.7106
ctrpv2,Teniposide,irm,1.0,388,23,0.24,0.157,0.3204,0.7195
ctrpv2,Teniposide,irm,10.0,388,23,0.24,0.1566,0.3161,0.7182
ctrpv2,Teniposide,irm,100.0,388,23,0.28,0.1555,0.3123,0.7167
ctrpv2,Teniposide,irm,1000.0,388,23,0.26,0.1554,0.3117,0.7164
ctrpv2,selumetinib-piperlongumine (8-1 mol-mol),irm,0.0,658,23,0.34,0.1231,0.2171,0.4738
ctrpv2,selumetinib-piperlongumine (8-1 mol-mol),marginal,,658,23,0.34,0.1254,0.2219,0.4779
ctrpv2,selumetinib-piperlongumine (8-1 mol-mol),residualized,,658,23,0.18,0.0304,0.2182,0.5038
ctrpv2,selumetinib-piperlongumine (8-1 mol-mol),within_tissue,,658,23,0.18,0.0243,0.2219,0.4779
ctrpv2,selumetinib-piperlongumine (8-1 mol-mol),irm,0.1,658,23,0.28,0.1229,0.2171,0.4614
ctrpv2,selumetinib-piperlongumine (8-1 mol-mol),irm,1.0,658,23,0.28,0.1218,0.2094,0.4504
ctrpv2,selumetinib-piperlongumine (8-1 mol-mol),irm,10.0,658,23,0.28,0.1229,0.2241,0.4745
