dataset,item,method,lam,n_cells,n_tissues,contam_50,attr_eta2,within_r,global_r
depmap,BCL2L1,irm,0.0,1066,29,0.22,0.0996,0.2982,0.3932
depmap,BCL2L1,marginal,,1066,29,0.12,0.0963,0.2946,0.3885
depmap,BCL2L1,residualized,,1066,29,0.1,0.0285,0.2892,0.3675
depmap,BCL2L1,within_tissue,,1066,29,0.06,0.0194,0.2946,0.3885
depmap,BCL2L1,irm,0.1,1066,29,0.16,0.0941,0.3023,0.3903
depmap,BCL2L1,irm,1.0,1066,29,0.16,0.0881,0.1672,0.2467
depmap,BCL2L1,irm,10.0,1066,29,0.16,0.0878,0.1571,0.2364
depmap,BCL2L1,irm,100.0,1066,29,0.12,0.0889,0.1643,0.2543
depmap,BCL2L1,irm,1000.0,1066,29,0.12,0.0889,0.1642,0.2542
depmap,ATP6V0C,irm,0.0,1066,29,0.24,0.1043,0.0687,0.1103
depmap,ATP6V0C,marginal,,1066,29,0.18,0.1017,0.0671,0.1148
depmap,ATP6V0C,residualized,,1066,29,0.16,0.0321,0.0906,0.1227
depmap,ATP6V0C,within_tissue,,1066,29,0.04,0.0166,0.0671,0.1148
depmap,ATP6V0C,irm,0.1,1066,29,0.24,0.104,0.0487,0.0938
depmap,ATP6V0C,irm,1.0,1066,29,0.24,0.0972,0.0345,0.0603
depmap,ATP6V0C,irm,10.0,1066,29,0.22,0.0963,0.0429,0.0758
depmap,ATP6V0C,irm,100.0,1066,29,0.24,0.0926,0.0617,0.0974
depmap,ATP6V0C,irm,1000.0,1066,29,0.22,0.0954,0.0328,0.0416
depmap,YPEL5,irm,0.0,1066,29,0.28,0.1017,0.2577,0.3706
depmap,YPEL5,marginal,,1066,29,0.32,0.0855,0.2112,0.3372
depmap,YPEL5,residualized,,1066,29,0.1,0.0325,0.2134,0.3151
depmap,YPEL5,within_tissue,,1066,29,0.18,0.02,0.2112,0.3372
depmap,YPEL5,irm,0.1,1066,29,0.34,0.0864,0.2028,0.3135
depmap,YPEL5,irm,1.0,1066,29,0.26,0.0909,0.0979,0.208
depmap,YPEL5,irm,10.0,1066,29,0.26,0.0907,0.084,0.1916
depmap,YPEL5,irm,100.0,1066,29,0.26,0.0908,0.089,0.1963
depmap,YPEL5,irm,1000.0,1066,29,0.24,0.0907,0.0905,0.1978
depmap,RRM1,irm,0.0,1066,29,0.28,0.109,0.0239,0.0526
depmap,RRM1,marginal,,1066,29,0.38,0.106,0.0408,0.0674
depmap,RRM1,residualized,,1066,29,0.06,0.0343,0.0684,0.101
depmap,RRM1,within_tissue,,1066,29,0.2,0.0152,0.0408,0.0674
depmap,RRM1,irm,0.1,1066,29,0.28,0.1056,0.0207,0.0508
depmap,RRM1,irm,1.0,1066,29,0.28,0.1043,-0.0025,0.0279
depmap,RRM1,irm,10.0,1066,29,0.32,0.1048,0.0171,0.0464
depmap,RRM1,irm,100.0,1066,29,0.26,0.1044,0.0667,0.0946
depmap,RRM1,irm,1000.0,1066,29,0.3,0.1026,-0.0054,0.0248
depmap,PPP1R15B,irm,0.0,1066,29,0.24,0.1033,0.3732,0.4673
depmap,PPP1R15B,marginal,,1066,29,0.2,0.0954,0.2935,0.4026
depmap,PPP1R15B,residualized,,1066,29,0.06,0.0325,0.3534,0.4395
depmap,PPP1R15B,within_tissue,,1066,29,0.14,0.0173,0.2935,0.4026
depmap,PPP1R15B,irm,0.1,1066,29,0.2,0.0916,0.2558,0.3543
depmap,PPP1R15B,irm,1.0,1066,29,0.2,0.0927,0.2064,0.292
depmap,PPP1R15B,irm,10.0,1066,29,0.2,0.0921,0.1911,0.2736
depmap,PPP1R15B,irm,100.0,1066,29,0.2,0.092,0.1904,0.2724
depmap,PPP1R15B,irm,1000.0,1066,29,0.2,0.092,0.1905,0.2724
depmap,ACTB,irm,0.0,1066,29,0.2,0.1,0.2635,0.3548
depmap,ACTB,marginal,,1066,29,0.18,0.0919,0.2477,0.3518
depmap,ACTB,residualized,,1066,29,0.12,0.0317,0.2526,0.3531
depmap,ACTB,within_tissue,,1066,29,0.1,0.0191,0.2477,0.3518
depmap,ACTB,irm,0.1,1066,29,0.22,0.0945,0.2538,0.359
depmap,ACTB,irm,1.0,1066,29,0.22,0.0863,0.1348,0.1908
depmap,ACTB,irm,10.0,1066,29,0.22,0.0858,0.1261,0.1769
depmap,ACTB,irm,100.0,1066,29,0.22,0.0857,0.126,0.1768
