dataset,item,method,lam,n_cells,n_tissues,contam_50,attr_eta2,within_r,global_r
depmap,ACTB,irm,1000.0,1066,29,0.22,0.0857,0.1252,0.1758
depmap,GTPBP4,irm,0.0,1066,29,0.12,0.1008,0.0309,0.0538
depmap,GTPBP4,marginal,,1066,29,0.2,0.1,0.0496,0.0685
depmap,GTPBP4,residualized,,1066,29,0.08,0.034,0.0842,0.0713
depmap,GTPBP4,within_tissue,,1066,29,0.1,0.0161,0.0496,0.0685
depmap,GTPBP4,irm,0.1,1066,29,0.1,0.0974,0.002,0.0199
depmap,GTPBP4,irm,1.0,1066,29,0.24,0.0916,0.0343,0.0562
depmap,GTPBP4,irm,10.0,1066,29,0.14,0.0949,-0.017,0.0071
depmap,GTPBP4,irm,100.0,1066,29,0.16,0.0966,0.0461,0.0636
depmap,GTPBP4,irm,1000.0,1066,29,0.2,0.0962,0.0223,0.0454
depmap,FAU,irm,0.0,1066,29,0.22,0.1094,0.0944,0.1302
depmap,FAU,marginal,,1066,29,0.24,0.1073,0.0685,0.1105
depmap,FAU,residualized,,1066,29,0.1,0.0347,0.1095,0.1474
depmap,FAU,within_tissue,,1066,29,0.14,0.0149,0.0685,0.1105
depmap,FAU,irm,0.1,1066,29,0.22,0.1091,0.0646,0.1043
depmap,FAU,irm,1.0,1066,29,0.24,0.103,0.0579,0.0847
depmap,FAU,irm,10.0,1066,29,0.26,0.1013,0.0771,0.1028
depmap,FAU,irm,100.0,1066,29,0.22,0.1028,0.0614,0.0884
depmap,FAU,irm,1000.0,1066,29,0.26,0.1054,0.0689,0.1059
