item,method,K,contamination
BRD-K14844214,dann,10,0.3
BRD-K14844214,dann,50,0.32
BRD-K14844214,dann,100,0.25
BRD-K14844214,adae,10,0.1
BRD-K14844214,adae,50,0.18
BRD-K14844214,adae,100,0.15
BRD-K19103580,marginal,10,0.3
BRD-K19103580,marginal,50,0.34
BRD-K19103580,marginal,100,0.37
BRD-K19103580,residualized,10,0.0
BRD-K19103580,residualized,50,0.06
BRD-K19103580,residualized,100,0.06
BRD-K19103580,irm,10,0.6
BRD-K19103580,irm,50,0.24
BRD-K19103580,irm,100,0.23
BRD-K19103580,within_tissue,10,0.0
BRD-K19103580,within_tissue,50,0.18
BRD-K19103580,within_tissue,100,0.23
BRD-K19103580,dann,10,0.5
BRD-K19103580,dann,50,0.26
BRD-K19103580,dann,100,0.27
BRD-K19103580,adae,10,0.3
BRD-K19103580,adae,50,0.34
BRD-K19103580,adae,100,0.32
BRD-K24690302,marginal,10,0.4
BRD-K24690302,marginal,50,0.26
BRD-K24690302,marginal,100,0.24
BRD-K24690302,residualized,10,0.0
BRD-K24690302,residualized,50,0.04
BRD-K24690302,residualized,100,0.05
BRD-K24690302,irm,10,0.3
BRD-K24690302,irm,50,0.26
BRD-K24690302,irm,100,0.29
BRD-K24690302,within_tissue,10,0.1
BRD-K24690302,within_tissue,50,0.16
BRD-K24690302,within_tissue,100,0.17
BRD-K24690302,dann,10,0.0
BRD-K24690302,dann,50,0.24
BRD-K24690302,dann,100,0.26
BRD-K24690302,adae,10,0.1
BRD-K24690302,adae,50,0.24
BRD-K24690302,adae,100,0.27
BRD-K26531177,marginal,10,0.4
BRD-K26531177,marginal,50,0.32
BRD-K26531177,marginal,100,0.34
BRD-K26531177,residualized,10,0.0
BRD-K26531177,residualized,50,0.1
BRD-K26531177,residualized,100,0.17
BRD-K26531177,irm,10,0.0
BRD-K26531177,irm,50,0.3
BRD-K26531177,irm,100,0.37
BRD-K26531177,within_tissue,10,0.1
BRD-K26531177,within_tissue,50,0.14
BRD-K26531177,within_tissue,100,0.24
BRD-K26531177,dann,10,0.3
BRD-K26531177,dann,50,0.34
BRD-K26531177,dann,100,0.35
BRD-K26531177,adae,10,0.2
BRD-K26531177,adae,50,0.16
BRD-K26531177,adae,100,0.29
BRD-K27188169-navitoclax_(2-1_mol-mol),marginal,10,0.1
BRD-K27188169-navitoclax_(2-1_mol-mol),marginal,50,0.28
BRD-K27188169-navitoclax_(2-1_mol-mol),marginal,100,0.21
BRD-K27188169-navitoclax_(2-1_mol-mol),residualized,10,0.1
