item,method,K,contamination
DUT,adae,100,0.61
DYNLRB1,marginal,10,0.6
DYNLRB1,marginal,50,0.32
DYNLRB1,marginal,100,0.3
DYNLRB1,residualized,10,0.1
DYNLRB1,residualized,50,0.02
DYNLRB1,residualized,100,0.07
DYNLRB1,irm,10,0.2
DYNLRB1,irm,50,0.32
DYNLRB1,irm,100,0.28
DYNLRB1,within_tissue,10,0.4
DYNLRB1,within_tissue,50,0.18
DYNLRB1,within_tissue,100,0.19
DYNLRB1,dann,10,0.5
DYNLRB1,dann,50,0.28
DYNLRB1,dann,100,0.29
DYNLRB1,adae,10,1.0
DYNLRB1,adae,50,0.8
DYNLRB1,adae,100,0.75
EEF1A1,marginal,10,0.1
EEF1A1,marginal,50,0.08
EEF1A1,marginal,100,0.18
EEF1A1,residualized,10,0.3
EEF1A1,residualized,50,0.08
EEF1A1,residualized,100,0.14
EEF1A1,irm,10,0.1
EEF1A1,irm,50,0.2
EEF1A1,irm,100,0.21
EEF1A1,within_tissue,10,0.1
EEF1A1,within_tissue,50,0.06
EEF1A1,within_tissue,100,0.1
EEF1A1,dann,10,0.0
EEF1A1,dann,50,0.18
EEF1A1,dann,100,0.16
EEF1A1,adae,10,0.1
EEF1A1,adae,50,0.26
EEF1A1,adae,100,0.27
EEF2,marginal,10,0.4
EEF2,marginal,50,0.22
EEF2,marginal,100,0.23
EEF2,residualized,10,0.1
EEF2,residualized,50,0.08
EEF2,residualized,100,0.1
EEF2,irm,10,0.1
EEF2,irm,50,0.18
EEF2,irm,100,0.2
EEF2,within_tissue,10,0.2
EEF2,within_tissue,50,0.1
EEF2,within_tissue,100,0.13
EEF2,dann,10,0.4
EEF2,dann,50,0.2
EEF2,dann,100,0.23
EEF2,adae,10,0.4
EEF2,adae,50,0.26
EEF2,adae,100,0.27
EFR3A,marginal,10,0.4
EFR3A,marginal,50,0.32
EFR3A,marginal,100,0.29
EFR3A,residualized,10,0.2
EFR3A,residualized,50,0.28
EFR3A,residualized,100,0.18
EFR3A,irm,10,0.4
EFR3A,irm,50,0.34
EFR3A,irm,100,0.28
EFR3A,within_tissue,10,0.3
EFR3A,within_tissue,50,0.2
EFR3A,within_tissue,100,0.19
EFR3A,dann,10,0.5
EFR3A,dann,50,0.3
EFR3A,dann,100,0.29
EFR3A,adae,10,0.4
EFR3A,adae,50,0.38
EFR3A,adae,100,0.39
EIF1AX,marginal,10,0.1
EIF1AX,marginal,50,0.22
EIF1AX,marginal,100,0.25
EIF1AX,residualized,10,0.1
EIF1AX,residualized,50,0.06
EIF1AX,residualized,100,0.12
EIF1AX,irm,10,0.1
EIF1AX,irm,50,0.16
EIF1AX,irm,100,0.3
EIF1AX,within_tissue,10,0.0
EIF1AX,within_tissue,50,0.12
EIF1AX,within_tissue,100,0.16
EIF1AX,dann,10,0.1
EIF1AX,dann,50,0.24
EIF1AX,dann,100,0.24
EIF1AX,adae,10,0.5
EIF1AX,adae,50,0.52
EIF1AX,adae,100,0.57
EIF4A1,marginal,10,0.4
EIF4A1,marginal,50,0.22
EIF4A1,marginal,100,0.19
EIF4A1,residualized,10,0.1
EIF4A1,residualized,50,0.16
EIF4A1,residualized,100,0.14
EIF4A1,irm,10,0.5
EIF4A1,irm,50,0.2
EIF4A1,irm,100,0.21
EIF4A1,within_tissue,10,0.2
EIF4A1,within_tissue,50,0.12
EIF4A1,within_tissue,100,0.12
EIF4A1,dann,10,0.4
EIF4A1,dann,50,0.22
EIF4A1,dann,100,0.2
EIF4A1,adae,10,0.0
EIF4A1,adae,50,0.18
EIF4A1,adae,100,0.19
ELL,marginal,10,0.3
ELL,marginal,50,0.26
ELL,marginal,100,0.23
ELL,residualized,10,0.3
ELL,residualized,50,0.16
ELL,residualized,100,0.18
ELL,irm,10,0.3
ELL,irm,50,0.34
ELL,irm,100,0.24
ELL,within_tissue,10,0.2
ELL,within_tissue,50,0.14
ELL,within_tissue,100,0.14
ELL,dann,10,0.4
ELL,dann,50,0.3
ELL,dann,100,0.24
ELL,adae,10,0.3
ELL,adae,50,0.52
ELL,adae,100,0.46
EMC3,marginal,10,0.1
EMC3,marginal,50,0.32
EMC3,marginal,100,0.22
EMC3,residualized,10,0.1
EMC3,residualized,50,0.26
EMC3,residualized,100,0.19
EMC3,irm,10,0.2
EMC3,irm,50,0.22
EMC3,irm,100,0.25
EMC3,within_tissue,10,0.1
EMC3,within_tissue,50,0.1
EMC3,within_tissue,100,0.15
EMC3,dann,10,0.4
EMC3,dann,50,0.18
EMC3,dann,100,0.26
EMC3,adae,10,0.3
EMC3,adae,50,0.36
EMC3,adae,100,0.44
EP300,marginal,10,0.0
EP300,marginal,50,0.24
EP300,marginal,100,0.2
