dataset,item,condition,xai,contam50,eta2,n_cell_lines
ctrpv2,BRD-K11533227,marginal,shap,0.3,0.1472187249009405,332
ctrpv2,BRD-K11533227,marginal,grad_x_input,0.34,0.14401981228619148,332
ctrpv2,BRD-K11533227,marginal,lrp_eps,0.38,0.14489162845925374,332
ctrpv2,BRD-K11533227,marginal,lrp_ab,0.32,0.2140307906681461,332
ctrpv2,BRD-K11533227,marginal,int_grad,0.34,0.14465174319851595,332
ctrpv2,BRD-K11533227,marginal,lime,0.2,0.08116568296284263,332
ctrpv2,BRD-K11533227,residualized,shap,0.08,0.06848544482834548,332
ctrpv2,BRD-K11533227,residualized,grad_x_input,0.1,0.07019597288445713,332
ctrpv2,BRD-K11533227,residualized,lrp_eps,0.1,0.0713597794677041,332
ctrpv2,BRD-K11533227,residualized,lrp_ab,0.16,0.04089556322878612,332
ctrpv2,BRD-K11533227,residualized,int_grad,0.1,0.07001775559503827,332
ctrpv2,BRD-K11533227,residualized,lime,0.24,0.06637949001014067,332
ctrpv2,Belinostat,marginal,shap,0.28,0.15482332579921826,384
ctrpv2,Belinostat,marginal,grad_x_input,0.26,0.13452974412663504,384
ctrpv2,Belinostat,marginal,lrp_eps,0.34,0.14962938783797194,384
ctrpv2,Belinostat,marginal,lrp_ab,0.1,0.5796526841968369,384
ctrpv2,Belinostat,marginal,int_grad,0.28,0.136892571747986,384
ctrpv2,Belinostat,marginal,lime,0.24,0.0635621662075516,384
ctrpv2,Belinostat,residualized,shap,0.2,0.05283424381930733,384
ctrpv2,Belinostat,residualized,grad_x_input,0.2,0.055216013492814374,384
ctrpv2,Belinostat,residualized,lrp_eps,0.18,0.05732377456180038,384
ctrpv2,Belinostat,residualized,lrp_ab,0.22,0.018125464356284166,384
ctrpv2,Belinostat,residualized,int_grad,0.2,0.05497833427604302,384
ctrpv2,Belinostat,residualized,lime,0.16,0.05824496897235347,384
ctrpv2,Teniposide,marginal,shap,0.42,0.17366019940674293,388
ctrpv2,Teniposide,marginal,grad_x_input,0.42,0.15357783371179845,388
ctrpv2,Teniposide,marginal,lrp_eps,0.64,0.17349715406046806,388
ctrpv2,Teniposide,marginal,lrp_ab,0.18,0.51253464244867,388
ctrpv2,Teniposide,marginal,int_grad,0.4,0.15535005105205468,388
ctrpv2,Teniposide,marginal,lime,0.26,0.059255582154046776,388
ctrpv2,Teniposide,residualized,shap,0.1,0.05879278959753684,388
ctrpv2,Teniposide,residualized,grad_x_input,0.1,0.05939345658212967,388
ctrpv2,Teniposide,residualized,lrp_eps,0.08,0.0693003197518681,388
ctrpv2,Teniposide,residualized,lrp_ab,0.24,0.0888738161088714,388
