dataset,item,condition,xai,contam50,eta2,n_cell_lines
depmap,ITGAV,residualized,shap,0.26,0.02828135456863424,1076
depmap,ITGAV,residualized,grad_x_input,0.22,0.02849671414842157,1076
depmap,ITGAV,residualized,lrp_eps,0.28,0.03688802642943111,1076
depmap,ITGAV,residualized,lrp_ab,0.38,0.012262283898068457,1076
depmap,ITGAV,residualized,int_grad,0.24,0.028861160548825156,1076
depmap,ITGAV,residualized,lime,0.28,0.026134495004992264,1076
depmap,GPN2,marginal,shap,0.24,0.10130875832324855,1076
depmap,GPN2,marginal,grad_x_input,0.28,0.09297586799419409,1076
depmap,GPN2,marginal,lrp_eps,0.3,0.09393827549965643,1076
depmap,GPN2,marginal,lrp_ab,0.18,0.24604728168125894,1076
depmap,GPN2,marginal,int_grad,0.28,0.09403904862271054,1076
depmap,GPN2,marginal,lime,0.18,0.03863019789807838,1076
depmap,GPN2,residualized,shap,0.04,0.03443072841368171,1076
depmap,GPN2,residualized,grad_x_input,0.04,0.030930946475286103,1076
depmap,GPN2,residualized,lrp_eps,0.04,0.04402170688094165,1076
depmap,GPN2,residualized,lrp_ab,0.18,0.08641697554612669,1076
depmap,GPN2,residualized,int_grad,0.04,0.032131197377997515,1076
depmap,GPN2,residualized,lime,0.08,0.026420397527431392,1076
depmap,SYS1,marginal,shap,0.24,0.10545127132812109,1076
depmap,SYS1,marginal,grad_x_input,0.28,0.09345194932838043,1076
depmap,SYS1,marginal,lrp_eps,0.28,0.09507423840282006,1076
depmap,SYS1,marginal,lrp_ab,0.26,0.13363206771971733,1076
depmap,SYS1,marginal,int_grad,0.3,0.09558474333942409,1076
depmap,SYS1,marginal,lime,0.24,0.04139625248104334,1076
depmap,SYS1,residualized,shap,0.18,0.03277052999999775,1076
depmap,SYS1,residualized,grad_x_input,0.18,0.03257439349574149,1076
depmap,SYS1,residualized,lrp_eps,0.14,0.041331209441838136,1076
depmap,SYS1,residualized,lrp_ab,0.22,0.02099549623726246,1076
depmap,SYS1,residualized,int_grad,0.16,0.0325866646346236,1076
depmap,SYS1,residualized,lime,0.16,0.026736884014005625,1076
depmap,GUK1,marginal,shap,0.14,0.09239508237476228,1076
depmap,GUK1,marginal,grad_x_input,0.16,0.0805855293117197,1076
depmap,GUK1,marginal,lrp_eps,0.16,0.0814970850724109,1076
depmap,GUK1,marginal,lrp_ab,0.12,0.06454736846713692,1076
depmap,GUK1,marginal,int_grad,0.18,0.08222196360693176,1076
depmap,GUK1,marginal,lime,0.1,0.03468382451818708,1076
depmap,GUK1,residualized,shap,0.12,0.034821983630114524,1076
depmap,GUK1,residualized,grad_x_input,0.14,0.034419575468826624,1076
depmap,GUK1,residualized,lrp_eps,0.12,0.052497379768720986,1076
depmap,GUK1,residualized,lrp_ab,0.16,0.0293135784368407,1076
depmap,GUK1,residualized,int_grad,0.16,0.034637285532002265,1076
depmap,GUK1,residualized,lime,0.1,0.028687146219844178,1076
depmap,RRM1,marginal,shap,0.4,0.11044857782396725,1076
depmap,RRM1,marginal,grad_x_input,0.42,0.10199567593679201,1076
depmap,RRM1,marginal,lrp_eps,0.52,0.10286097842410355,1076
depmap,RRM1,marginal,lrp_ab,0.28,0.3053890668095584,1076
depmap,RRM1,marginal,int_grad,0.42,0.10303279383398277,1076
depmap,RRM1,marginal,lime,0.32,0.03728889216776977,1076
depmap,RRM1,residualized,shap,0.02,0.03565585433964916,1076
depmap,RRM1,residualized,grad_x_input,0.02,0.034581056073915054,1076
depmap,RRM1,residualized,lrp_eps,0.02,0.046845547100805046,1076
depmap,RRM1,residualized,lrp_ab,0.14,0.026126438744063934,1076
depmap,RRM1,residualized,int_grad,0.02,0.034806441559345695,1076
depmap,RRM1,residualized,lime,0.06,0.027405168860750104,1076
depmap,CHMP4B,marginal,shap,0.36,0.09798500473428022,1076
depmap,CHMP4B,marginal,grad_x_input,0.3,0.08595418209056682,1076
depmap,CHMP4B,marginal,lrp_eps,0.36,0.09339129536997272,1076
depmap,CHMP4B,marginal,lrp_ab,0.18,0.13789890067380406,1076
depmap,CHMP4B,marginal,int_grad,0.3,0.08761007074017316,1076
depmap,CHMP4B,marginal,lime,0.26,0.03456592778712053,1076
depmap,CHMP4B,residualized,shap,0.28,0.031262905018739816,1076
depmap,CHMP4B,residualized,grad_x_input,0.22,0.03147240368335653,1076
depmap,CHMP4B,residualized,lrp_eps,0.26,0.03951156112014283,1076
depmap,CHMP4B,residualized,lrp_ab,0.24,0.01658067834291709,1076
