dataset,item,condition,xai,contam50,eta2,n_cell_lines
depmap,ITGAV,residualized,shap,0.26,0.0282813545686342,1076
depmap,ITGAV,residualized,grad_x_input,0.22,0.0284967141484215,1076
depmap,ITGAV,residualized,lrp_eps,0.28,0.0368880264294311,1076
depmap,ITGAV,residualized,lrp_ab,0.38,0.0122622838980684,1076
depmap,ITGAV,residualized,int_grad,0.24,0.0288611605488251,1076
depmap,ITGAV,residualized,lime,0.28,0.0261344950049922,1076
depmap,GPN2,marginal,shap,0.24,0.1013087583232485,1076
depmap,GPN2,marginal,grad_x_input,0.28,0.092975867994194,1076
depmap,GPN2,marginal,lrp_eps,0.3,0.0939382754996564,1076
depmap,GPN2,marginal,lrp_ab,0.18,0.2460472816812589,1076
depmap,GPN2,marginal,int_grad,0.28,0.0940390486227105,1076
depmap,GPN2,marginal,lime,0.18,0.0386301978980783,1076
depmap,GPN2,residualized,shap,0.04,0.0344307284136817,1076
depmap,GPN2,residualized,grad_x_input,0.04,0.0309309464752861,1076
depmap,GPN2,residualized,lrp_eps,0.04,0.0440217068809416,1076
depmap,GPN2,residualized,lrp_ab,0.18,0.0864169755461266,1076
depmap,GPN2,residualized,int_grad,0.04,0.0321311973779975,1076
depmap,GPN2,residualized,lime,0.08,0.0264203975274313,1076
depmap,SYS1,marginal,shap,0.24,0.105451271328121,1076
depmap,SYS1,marginal,grad_x_input,0.28,0.0934519493283804,1076
depmap,SYS1,marginal,lrp_eps,0.28,0.09507423840282,1076
depmap,SYS1,marginal,lrp_ab,0.26,0.1336320677197173,1076
depmap,SYS1,marginal,int_grad,0.3,0.095584743339424,1076
depmap,SYS1,marginal,lime,0.24,0.0413962524810433,1076
depmap,SYS1,residualized,shap,0.18,0.0327705299999977,1076
depmap,SYS1,residualized,grad_x_input,0.18,0.0325743934957414,1076
depmap,SYS1,residualized,lrp_eps,0.14,0.0413312094418381,1076
depmap,SYS1,residualized,lrp_ab,0.22,0.0209954962372624,1076
depmap,SYS1,residualized,int_grad,0.16,0.0325866646346236,1076
depmap,SYS1,residualized,lime,0.16,0.0267368840140056,1076
depmap,GUK1,marginal,shap,0.14,0.0923950823747622,1076
depmap,GUK1,marginal,grad_x_input,0.16,0.0805855293117197,1076
depmap,GUK1,marginal,lrp_eps,0.16,0.0814970850724109,1076
depmap,GUK1,marginal,lrp_ab,0.12,0.0645473684671369,1076
depmap,GUK1,marginal,int_grad,0.18,0.0822219636069317,1076
depmap,GUK1,marginal,lime,0.1,0.034683824518187,1076
depmap,GUK1,residualized,shap,0.12,0.0348219836301145,1076
depmap,GUK1,residualized,grad_x_input,0.14,0.0344195754688266,1076
depmap,GUK1,residualized,lrp_eps,0.12,0.0524973797687209,1076
depmap,GUK1,residualized,lrp_ab,0.16,0.0293135784368407,1076
depmap,GUK1,residualized,int_grad,0.16,0.0346372855320022,1076
depmap,GUK1,residualized,lime,0.1,0.0286871462198441,1076
depmap,RRM1,marginal,shap,0.4,0.1104485778239672,1076
depmap,RRM1,marginal,grad_x_input,0.42,0.101995675936792,1076
depmap,RRM1,marginal,lrp_eps,0.52,0.1028609784241035,1076
depmap,RRM1,marginal,lrp_ab,0.28,0.3053890668095584,1076
depmap,RRM1,marginal,int_grad,0.42,0.1030327938339827,1076
depmap,RRM1,marginal,lime,0.32,0.0372888921677697,1076
depmap,RRM1,residualized,shap,0.02,0.0356558543396491,1076
depmap,RRM1,residualized,grad_x_input,0.02,0.034581056073915,1076
depmap,RRM1,residualized,lrp_eps,0.02,0.046845547100805,1076
depmap,RRM1,residualized,lrp_ab,0.14,0.0261264387440639,1076
depmap,RRM1,residualized,int_grad,0.02,0.0348064415593456,1076
depmap,RRM1,residualized,lime,0.06,0.0274051688607501,1076
depmap,CHMP4B,marginal,shap,0.36,0.0979850047342802,1076
depmap,CHMP4B,marginal,grad_x_input,0.3,0.0859541820905668,1076
depmap,CHMP4B,marginal,lrp_eps,0.36,0.0933912953699727,1076
depmap,CHMP4B,marginal,lrp_ab,0.18,0.137898900673804,1076
depmap,CHMP4B,marginal,int_grad,0.3,0.0876100707401731,1076
depmap,CHMP4B,marginal,lime,0.26,0.0345659277871205,1076
depmap,CHMP4B,residualized,shap,0.28,0.0312629050187398,1076
depmap,CHMP4B,residualized,grad_x_input,0.22,0.0314724036833565,1076
depmap,CHMP4B,residualized,lrp_eps,0.26,0.0395115611201428,1076
depmap,CHMP4B,residualized,lrp_ab,0.24,0.016580678342917,1076
depmap,CHMP4B,residualized,int_grad,0.24,0.0314652388335232,1076
depmap,CHMP4B,residualized,lime,0.26,0.0258176060273391,1076
