Symbol
A2M
AAAS
AARD
AARS2
AASDH
ABCA5
ABCA8
ABCB1
ABCB4
ABCB5
ABCC1
ABCC4
ABCC8
ABCF1
ABCG2
ABHD6
ABL1
ABTB1
ACADVL
ACAP1
ACBD5
ACP5
ACRV1
ACSL3
ACSM2A
ACSM4
ACTA1
ACTB
ACTR1A
ACTR3B
ACTR6
ACTRT2
ACVR2B
ADA
ADAM10
ADAM15
ADAM2
ADAMTSL1
ADCY10
ADCY3
ADRA1D
ADRB3
AEBP1
AFAP1L1
AFG2B
AFMID
AGAP3
AGPAT2
AGRN
AGTPBP1
AHDC1
AIM2
AK5
AK7
AKAP12
AKR1E2
AKR7A2
AKT1
AKT1S1
AKT2
AKT3
ALAS1
ALDH3B2
ALDOB
ALG8
ALK
ALLC
ALOX12B
AMER2
AMFR
AMIGO1
ANAPC10
ANGEL2
ANGPT1
ANGPTL6
ANK1
ANKRD10
ANKRD28
ANKRD30A
ANKRD34B
ANKRD40
ANKRD44
ANKRD49
ANXA4
AP2A1
AP5M1
APCDD1
APCS
APEX1
APLP2
APMAP
APOBEC1
APP
APRT
ARF4
ARFGAP1
ARHGAP25
ARHGAP28
ARHGAP32
ARHGAP44
ARHGAP9
ARHGDIB
ARHGEF15
ARHGEF18
ARHGEF19
ARHGEF33
ARHGEF4
ARHGEF40
ARID3C
ARIH2
ARL11
ARNT
ARNT2
ARRB1
ARSI
ARVCF
ASAH1
ASB2
ASB8
ASCC2
ASNS
ASPH
ASRGL1
ASTN1
ATAD2
ATAD5
ATF2
ATF7
ATG12
ATG16L1
ATG9A
ATM
ATN1
ATOH8
ATP10A
ATP10B
ATP6V0A1
ATP6V1B2
ATP6V1C1
ATP6V1C2
ATP6V1E2
ATP6V1G1
ATP7B
ATR
ATRN
ATXN7L3
ATXN7L3B
AURKA
AURKAIP1
AURKB
AURKC
AXDND1
AXL
B3GALT1
B3GNT9
B4GALT1
B4GALT4
B9D1
BAAT
BANF2
BARD1
BARX1
BBS2
BBS4
BCAR3
BCL2
BCL2L1
BCL2L12
BCL9L
BCLAF1
BCR
BEND4
BFAR
BHLHE23
BHMT
BID
BIRC2
BLNK
BLTP3B
BMP2
BMP2K
BMX
BNC2
BPHL
BPIFA1
BPIFB1
BRAF
BRCA1
BRD10
BRD2
BRD3
BRD4
BRD8
BRDT
BRF2
BRIP1
BRSK2
BST2
BTK
BTRC
BUB1
BUB3
BZW2
C1QA
C1QTNF8
C1RL
C9
CA12
CACNA1E
CAD
CALCA
CALCB
CALR
CAMK1G
CAMK2B
CAMP
CAPG
CAPN1
CAPN10
CAPN9
CAPZB
CARD11
CARD6
CASP1
CASP3
CASP7
CASR
CATSPERB
CATSPERD
CBR3
CCDC102A
CCDC102B
CCDC112
CCDC116
CCDC122
CCDC127
CCDC136
CCDC146
CCDC170
CCDC34
CCDC62
CCDC73
CCDC90B
CCL20
CCL21
CCL28
CCN4
CCNA1
CCND1
CCNE1
CCR4
CCSER1
CCT5
CD164L2
CD2BP2
CD300A
CD320
CD63
CD82
CD8A
CDC123
CDC7
CDH1
CDH15
CDH9
CDIP1
CDK1
CDK13
CDK2
CDK4
CDK5
CDK5R2
CDK6
CDK7
CDK9
CDKN2A
CDKN2AIP
CDKN2AIPNL
CDR2L
CDS2
CDYL
CEACAM19
CEACAM4
CEBPE
CEL
CELF1
CELF4
CELSR3
CEP152
CEP350
CEP72
CEP97
CER1
CES4A
CHD9
CHEK1
CHKA
CHMP1A
CHMP2B
CHMP5
CHMP6
CHN2
CHRNB1
CHST1
CHST11
CHST14
CHST4
CHUK
CIAO3
CIB3
CIMAP1D
CKAP2
CKAP4
CLCN2
CLDN4
CLEC10A
CLEC16A
CLEC1A
CLEC4D
CLEC4E
CLECL1P
CLK4
CLMN
CLN5
CLPS
CLUL1
CLYBL
CMPK1
CNOT10
CNOT2
COG5
COL15A1
COLEC12
COMMD1
COPZ1
COPZ2
CORIN
CORO1B
COX5A
COX5B
COX7A2L
CP
CPEB2
CPLX1
CPNE7
CPOX
CPPED1
CPXM2
CRB1
CRBN
CRCP
CREBBP
CREG1
CRIP3
CRLS1
CRTAM
CRY2
CRYBB1
CSAD
CSDC2
CSDE1
CSE1L
CSF1R
CSF2RB
CSHL1
CSNK1A1L
CSRNP1
CSRP1
CST1
CSTB
CTCFL
CTNNA3
CTRC
CTSB
CTTNBP2
CTU1
CXCL6
CYB5B
CYB5R4
CYP1A2
CYP1B1
CYP26B1
CYP27C1
CYP2A13
CYP2S1
CYP2W1
CYP3A5
CYTL1
DAPK3
DBR1
DCBLD1
DCK
DCLK1
DCST2
DCTN2
DCTN5
DCUN1D2
DDB2
DDC
DDIT4L
DDR1
DDX1
DDX18
DDX25
DDX31
DDX49
DDX6
DDX60
DECR2
DEFA5
DEFB116
DEFB118
DEFB134
DEK
DENND1B
DENND2A
DENND4B
DEPDC4
DESI1
DGAT1
DHTKD1
DHX16
DHX32
DIPK1C
DIRAS1
DIXDC1
DLEU7
DLK2
DLST
DLX3
DMBT1
DMXL1
DMXL2
DNAH14
DNAH3
DNAI2
DNAJB5
DNAJB8
DNAJC15
DNAJC2
DNAJC22
DNASE2B
DNER
DNMT1
DOCK4
DOCK8
DOK2
DOT1L
DPP8
DPYD
DRAXIN
DSG1
DSPP
DTL
DTX2
DUSP4
DVL2
DYDC2
DYNC2LI1
DYNLT1
DYNLT4
DYRK1A
DYSF
EAPP
EBAG9
EBF1
EBF2
ECHDC2
ECHS1
ECSIT
EDNRA
EEIG2
EFCAB12
EFCAB5
EFCC1
EFHC1
EFNA5
EFTUD2
EGFR
EGLN1
EHD3
EHMT1
EHMT2
EID2
EIF1B
EIF2A
EIF2B5
EIF2S1
EIF5
ELF2
ELK4
ELL2
ELMOD2
ELOVL4
ELOVL7
EMC10
EMC7
EME1
ENDOV
ENO2
ENO3
ENPEP
ENTPD2
ENTPD8
EPAS1
EPHA7
EPHB4
ERBB2
ERBB3
ERCC1
ERCC5
ERGIC1
ERI1
ERMN
ESR1
ESYT2
ETFB
ETFDH
ETV3
EXOC3
EXTL2
EYS
EZH1
F11R
F12
F13A1
F13B
F2
F3
FABP1
FAHD1
FAIM2
FAM110A
FAM111B
FAM114A1
FAM114A2
FAM118A
FAM120AOS
FAM135B
FAM151B
